Name,Rating,Review Count,location,Address,Phone
Kitchen Woori,5.0,65,"{'address1': '1545 Fillmore St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['1545 Fillmore St', 'San Francisco, CA 94115']}","1545 Fillmore St, San Francisco, CA 94115",+14158293159
Limoncello,5.0,1650,"{'address1': '1400 Sutter St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['1400 Sutter St', 'San Francisco, CA 94109']}","1400 Sutter St, San Francisco, CA 94109",+14156386361
Falafel City,5.0,18,"{'address1': '425 Ellis St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['425 Ellis St', 'San Francisco, CA 94102']}","425 Ellis St, San Francisco, CA 94102",+14156553285
Caliente Bistro Kitchen,5.0,199,"{'address1': '4828 Geary Blvd', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['4828 Geary Blvd', 'San Francisco, CA 94118']}","4828 Geary Blvd, San Francisco, CA 94118",+14153796250
Mixiote,5.0,12,"{'address1': '350 Mission St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94105', 'country': 'US', 'state': 'CA', 'display_address': ['350 Mission St', 'San Francisco, CA 94105']}","350 Mission St, San Francisco, CA 94105",+14158606781
Miyako Old Fashioned Ice Cream,5.0,447,"{'address1': '1470 Fillmore St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['1470 Fillmore St', 'San Francisco, CA 94118']}","1470 Fillmore St, San Francisco, CA 94118",+14159315260
Boochmania,5.0,38,"{'address1': '685 Harrison St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['685 Harrison St', 'San Francisco, CA 94107']}","685 Harrison St, San Francisco, CA 94107",+14158007527
WOW!! BURGERS & GRILL ,5.0,36,"{'address1': '2040 Ocean Ave', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94127', 'country': 'US', 'state': 'CA', 'display_address': ['2040 Ocean Ave', 'San Francisco, CA 94127']}","2040 Ocean Ave, San Francisco, CA 94127",+16282508578
Uncle Monties,5.0,1,"{'address1': '123 Main St', 'address2': 'Ste 200', 'address3': None, 'city': 'San Francisco', 'zip_code': '94105', 'country': 'US', 'state': 'CA', 'display_address': ['123 Main St', 'Ste 200', 'San Francisco, CA 94105']}","123 Main St, Ste 200, San Francisco, CA 94105",
Peacock Pansy,5.0,25,"{'address1': '392 Fulton St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['392 Fulton St', 'San Francisco, CA 94102']}","392 Fulton St, San Francisco, CA 94102",+14152242293
Brisbane Lunch Truck,5.0,144,"{'address1': '3501 Bayshore Blvd', 'address2': None, 'address3': '', 'city': 'Brisbane', 'zip_code': '94005', 'country': 'US', 'state': 'CA', 'display_address': ['3501 Bayshore Blvd', 'Brisbane, CA 94005']}","3501 Bayshore Blvd, Brisbane, CA 94005",+14156606320
Cocina Mamá Cholita,5.0,62,"{'address1': '3471 Mission St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3471 Mission St', 'San Francisco, CA 94110']}","3471 Mission St, San Francisco, CA 94110",+14158749720
Kelly’s Diner,5.0,3,"{'address1': None, 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['San Francisco, CA 94110']}","San Francisco, CA 94110",+16174595807
Big City Chefs,5.0,73,"{'address1': '221 24th Ave', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94121', 'country': 'US', 'state': 'CA', 'display_address': ['221 24th Ave', 'San Francisco, CA 94121']}","221 24th Ave, San Francisco, CA 94121",+18663212433
Southside Station,5.0,208,"{'address1': '2504 Shattuck Ave', 'address2': None, 'address3': '', 'city': 'Berkeley', 'zip_code': '94704', 'country': 'US', 'state': 'CA', 'display_address': ['2504 Shattuck Ave', 'Berkeley, CA 94704']}","2504 Shattuck Ave, Berkeley, CA 94704",+15109899835
Ala Mediterranean Grill & Mezzes,5.0,106,"{'address1': '1504 Webster St', 'address2': '', 'address3': None, 'city': 'Alameda', 'zip_code': '94501', 'country': 'US', 'state': 'CA', 'display_address': ['1504 Webster St', 'Alameda, CA 94501']}","1504 Webster St, Alameda, CA 94501",+15102638226
SF Hole in the Wall Catering,5.0,7,"{'address1': '1827 Irving St', 'address2': None, 'address3': None, 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['1827 Irving St', 'San Francisco, CA 94122']}","1827 Irving St, San Francisco, CA 94122",+14154507214
The Salad Place & Rotisserie,5.0,103,"{'address1': '5392 Mission St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94112', 'country': 'US', 'state': 'CA', 'display_address': ['5392 Mission St', 'San Francisco, CA 94112']}","5392 Mission St, San Francisco, CA 94112",+14154446350
SF Chickenbox,4.5,181,"{'address1': '464 Broadway St', 'address2': None, 'address3': None, 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['464 Broadway St', 'San Francisco, CA 94133']}","464 Broadway St, San Francisco, CA 94133",+14155099607
Seoul Bunsik,4.5,13,"{'address1': '380 Bush St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94104', 'country': 'US', 'state': 'CA', 'display_address': ['380 Bush St', 'San Francisco, CA 94104']}","380 Bush St, San Francisco, CA 94104",+14156587507
apizza & loving cup,4.5,263,"{'address1': '2043 Fillmore St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['2043 Fillmore St', 'San Francisco, CA 94115']}","2043 Fillmore St, San Francisco, CA 94115",+14157962037
Express Pupuseria,4.5,182,"{'address1': '4715 Geary Blvd', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['4715 Geary Blvd', 'San Francisco, CA 94118']}","4715 Geary Blvd, San Francisco, CA 94118",+14156663534
Ben’s Fast Food,4.5,218,"{'address1': '60 Morris St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['60 Morris St', 'San Francisco, CA 94107']}","60 Morris St, San Francisco, CA 94107",+14156448377
Chicken G's,4.5,8,"{'address1': '346 Kearny St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94108', 'country': 'US', 'state': 'CA', 'display_address': ['346 Kearny St', 'San Francisco, CA 94108']}","346 Kearny St, San Francisco, CA 94108",+16509187777
Mr Banh Mi,4.5,380,"{'address1': '3605 Balboa St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94121', 'country': 'US', 'state': 'CA', 'display_address': ['3605 Balboa St', 'San Francisco, CA 94121']}","3605 Balboa St, San Francisco, CA 94121",+14154636588
Saigon Sandwich,4.5,3694,"{'address1': '560 Larkin St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['560 Larkin St', 'San Francisco, CA 94102']}","560 Larkin St, San Francisco, CA 94102",+14154745698
Hot Sauce and Panko,4.5,1323,"{'address1': '1468 Hyde St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['1468 Hyde St', 'San Francisco, CA 94109']}","1468 Hyde St, San Francisco, CA 94109",+14153591908
Bandit,4.5,562,"{'address1': '683 Geary St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['683 Geary St', 'San Francisco, CA 94102']}","683 Geary St, San Francisco, CA 94102",+14156587780
Otra,4.5,146,"{'address1': '682 Haight St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['682 Haight St', 'San Francisco, CA 94117']}","682 Haight St, San Francisco, CA 94117",+14155002774
Korean Soul Chicken,4.5,103,"{'address1': '1710 Polk St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['1710 Polk St', 'San Francisco, CA 94109']}","1710 Polk St, San Francisco, CA 94109",+14157963538
Box Kitchen,4.5,851,"{'address1': '431 Natoma St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['431 Natoma St', 'San Francisco, CA 94103']}","431 Natoma St, San Francisco, CA 94103",+14155807170
Kawashima's Kitchen,4.5,37,"{'address1': '5800 3rd St', 'address2': 'Ste C1001', 'address3': '', 'city': 'San Francisco', 'zip_code': '94124', 'country': 'US', 'state': 'CA', 'display_address': ['5800 3rd St', 'Ste C1001', 'San Francisco, CA 94124']}","5800 3rd St, Ste C1001, San Francisco, CA 94124",+14152384447
Halal Fried Chicken,4.5,7,"{'address1': '601 Geary St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['601 Geary St', 'San Francisco, CA 94102']}","601 Geary St, San Francisco, CA 94102",+14158293666
The Melt - 1st & Market,4.5,442,"{'address1': '455 Market St', 'address2': None, 'address3': 'Market & 1st', 'city': 'San Francisco', 'zip_code': '94105', 'country': 'US', 'state': 'CA', 'display_address': ['455 Market St', 'Market & 1st', 'San Francisco, CA 94105']}","455 Market St, Market & 1st, San Francisco, CA 94105",+14152879819
